#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T21:46:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400f3a61a6e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/167/40&tab:{J/ApJS/167/40/catalog}&key:source=J/ApJS/167/40/catalog&HTTPPRM:&&-ref=VIZ5400f3a61a6e&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/167/40/catalog
#-order=I
#-out=S
#S=wd
#-out=SpClass
#-out=WD
#-out=SDSS
#-out=pm
#-out=pmPA
#-out=umag
#-out=gmag
#-out=rmag
#-out=imag
#-out=zmag
#-out=Teff
#Sloan=SDSS
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21670040
#Name: J/ApJS/167/40
#Title: SDSS4 confirmed white dwarfs catalog (Eisenstein+, 2006)
#Table	J_ApJS_167_40_catalog:
#Name: J/ApJS/167/40/catalog
#Title: SDSS DR4 white dwarfs and hot subdwarfs {\em(tables 1 and 1c of catalog)}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	S	(A2)	{\bf wd} for white dwarfs, or {\bf sd} for subdwarfs	[ucd=src.class]
#Column	SpClass	(a12)	Spectral Classification	[ucd=spect.index]
#Column	WD	(a10)	McCook & Sion (1999, see Cat. III/235) WD catalog ID (as of 2005 August)	[ucd=meta.id]
#Column	SDSS	(a19)	The IAU name, JHHMMSS.ss+DDMMSS.s \linkRole{SDSS-DR4 photometric data} (3)	[ucd=meta.id;meta.main]
#Column	pm	(F7.1)	? Proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Proper-motion position angle, where 0 = north, 90 = east, etc	[ucd=pos.pm;pos.posAng]
#Column	umag	(F6.3)	? SDSS u-band PSF as observed magnitude	[ucd=phot.mag;em.opt.U]
#Column	gmag	(F6.3)	? SDSS g-band PSF as observed magnitude	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r-band PSF as observed magnitude	[ucd=phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i-band PSF as observed magnitude	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z-band PSF as observed magnitude	[ucd=phot.mag;em.opt.I]
#Column	Teff	(I6)	Autofit temperature	[ucd=phys.temperature]
#Column	RAJ2000	(F10.6)	Decimal degree right ascension (J2000) (4)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Decimal degree declination (J2000) (4)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	S	SpClass	WD	SDSS	pm	pmPA	umag	gmag	rmag	imag	zmag	Teff	RAJ2000	DEJ2000
133.826843	+00.975915	wd	DA          	0852+011  	J085518.44+005833.2	       	     	19.766	19.769	20.093	20.347	21.092	 21585	133.826843	+00.975915
133.871775	+05.401437	wd	DA_auto     	          	J085529.22+052405.1	       	     	19.120	18.687	18.676	18.804	18.928	  9672	133.871775	+05.401437
133.910793	+36.644601	wd	DC:         	          	J085538.59+363840.5	   24.6	314.9	20.356	20.081	20.124	20.212	20.663	 10182	133.910793	+36.644601
133.923804	+47.765104	wd	DA_auto     	          	J085541.71+474554.3	   38.8	232.1	18.320	17.858	17.918	18.042	18.193	  9743	133.923804	+47.765104
133.925348	+42.764501	wd	DA_auto     	          	J085542.08+424552.2	    7.6	161.4	20.240	19.920	20.115	20.306	20.322	 13064	133.925348	+42.764501
133.927074	+04.788265	wd	DA+M        	          	J085542.49+044717.7	    1.9	223.6	19.938	19.458	19.401	18.930	18.280	  7842	133.927074	+04.788265
133.964770	+01.609607	wd	DB          	0853+018  	J085551.54+013634.5	   11.9	149.3	19.484	19.530	19.844	20.153	19.973	 17190	133.964770	+01.609607
133.968430	+08.816973	wd	DA_auto     	          	J085552.42+084901.1	   34.6	237.9	19.418	19.012	19.076	19.132	19.245	  9569	133.968430	+08.816973
133.989420	+05.590141	wd	DA+M        	          	J085557.46+053524.5	   14.6	165.7	20.778	20.377	20.113	19.170	18.493	  6304	133.989420	+05.590141
133.989505	+08.285140	wd	DA_auto     	          	J085557.48+081706.5	   52.4	167.6	18.032	17.761	18.075	18.339	18.605	 17219	133.989505	+08.285140
133.996705	+48.433505	wd	DA_auto     	          	J085559.20+482600.6	   30.8	304.7	19.372	18.965	18.901	18.936	19.066	  8428	133.996705	+48.433505
134.011239	+06.871401	wd	DA_auto     	          	J085602.69+065217.0	    2.4	139.5	19.972	19.614	19.910	20.168	20.384	 14524	134.011239	+06.871401
134.016181	+05.218046	wd	DA_auto     	          	J085603.88+051304.9	   24.6	171.8	19.704	19.719	20.121	20.454	20.632	 25480	134.016181	+05.218046
134.020342	+54.916992	wd	DA          	0852+551  	J085604.88+545501.1	   45.3	137.8	19.056	18.654	18.649	18.748	18.821	  9370	134.020342	+54.916992
134.058784	+02.109975	wd	DA          	0853+023  	J085614.10+020635.9	   25.4	171.7	19.359	19.386	19.774	20.116	20.662	 23183	134.058784	+02.109975
134.059263	+00.525963	wd	DA          	0853+007  	J085614.22+003133.4	    6.6	349.8	20.312	20.128	20.286	20.534	20.824	 16143	134.059263	+00.525963
134.066959	+00.527457	wd	DA          	0853+007.1	J085616.07+003138.8	   15.0	158.2	19.395	19.704	20.057	20.423	20.620	 32370	134.066959	+00.527457
134.069473	+06.775665	wd	DA+M        	          	J085616.67+064632.3	    4.2	189.5	20.062	19.767	19.805	19.289	18.735	  7423	134.069473	+06.775665
134.085424	+00.154576	wd	DA          	0853+003  	J085620.50+000916.4	    7.3	232.9	20.465	20.017	20.132	20.283	20.289	 10890	134.085424	+00.154576
134.099017	+35.051987	wd	DA_auto     	          	J085623.76+350307.1	   29.4	184.9	19.610	19.471	19.796	20.070	20.527	 19303	134.099017	+35.051987
134.105562	+01.263473	wd	DA          	0853+014  	J085625.33+011548.5	   27.1	159.8	20.613	20.276	20.434	20.634	21.080	 13330	134.105562	+01.263473
134.143874	+50.463416	wd	DA          	0853+506  	J085634.52+502748.2	   21.5	191.0	16.887	17.190	17.692	18.004	18.311	 34521	134.143874	+50.463416
134.155819	+32.457623	wd	DA_auto     	          	J085637.39+322727.4	   14.2	 52.5	19.616	19.222	19.332	19.500	19.802	 11659	134.155819	+32.457623
134.186919	+08.408099	wd	DA_auto     	          	J085644.86+082429.1	    9.3	  4.1	20.529	20.244	20.503	20.672	21.107	 16454	134.186919	+08.408099
134.198713	+31.985915	wd	DA_auto     	          	J085647.69+315909.2	   54.6	146.3	19.531	19.112	19.268	19.400	19.615	 10900	134.198713	+31.985915
134.221594	+02.806807	wd	DA_auto     	          	J085653.18+024824.5	   12.6	164.7	19.679	19.290	19.371	19.638	19.828	 11165	134.221594	+02.806807
134.239202	+31.698552	wd	DA_auto     	          	J085657.40+314154.7	   29.0	133.2	19.514	18.972	19.132	19.322	19.536	 12600	134.239202	+31.698552
134.268865	+41.855737	wd	DA_auto     	          	J085704.52+415120.6	   18.2	248.5	19.435	19.116	19.235	19.484	19.684	 12127	134.268865	+41.855737
134.287559	+06.065971	wd	DQ:         	          	J085709.01+060357.4	   36.5	158.8	18.626	18.438	18.425	18.527	18.735	 10190	134.287559	+06.065971
134.301217	+49.895813	wd	DCA:        	          	J085712.29+495344.9	   60.9	212.1	17.855	17.766	18.017	18.022	18.191	 10808	134.301217	+49.895813
134.321163	+38.035004	wd	DB          	          	J085717.07+380206.0	   34.0	 90.1	19.133	19.147	19.297	19.448	19.709	 12903	134.321163	+38.035004
134.364594	+02.968103	wd	DA_auto     	          	J085727.50+025805.1	   19.9	215.8	17.833	17.723	18.056	18.314	18.594	 19385	134.364594	+02.968103
134.400659	+01.287244	wd	DA          	0855+014  	J085736.15+011714.0	    6.4	210.4	20.031	19.639	19.665	19.879	19.909	  9805	134.400659	+01.287244
134.406838	+06.407720	wd	DA_auto     	          	J085737.64+062427.7	   23.3	156.7	20.490	19.999	20.258	20.490	20.888	 14520	134.406838	+06.407720
134.411796	+40.406095	wd	DA_auto     	          	J085738.83+402421.9	   15.0	161.9	19.841	19.913	20.352	20.716	21.555	 24478	134.411796	+40.406095
134.425206	+36.590737	wd	DA_auto     	          	J085742.04+363526.6	   10.5	 99.0	18.016	18.187	18.638	18.960	19.248	 28235	134.425206	+36.590737
134.426499	+29.970452	wd	DA_auto     	          	J085742.35+295813.6	   62.7	216.3	18.694	18.333	18.441	18.673	18.907	 11562	134.426499	+29.970452
134.431547	+55.567483	wd	DA          	0853+557  	J085743.57+553402.9	    8.9	102.5	20.839	20.321	20.513	20.686	20.926	 11707	134.431547	+55.567483
134.435133	+34.244507	wd	DA_auto     	          	J085744.43+341440.2	   28.6	178.2	20.684	20.218	20.450	20.707	20.931	 13498	134.435133	+34.244507
134.442443	+03.715370	wd	DA          	          	J085746.18+034255.3	    2.1	313.9	17.735	17.959	18.247	18.386	18.523	 36181	134.442443	+03.715370
134.455104	+32.893218	wd	DA_auto     	          	J085749.22+325335.5	   15.1	240.3	20.783	20.399	20.461	20.445	20.497	  9232	134.455104	+32.893218
134.498990	+47.508703	wd	DA_auto     	          	J085759.75+473031.3	   19.1	193.5	20.066	19.939	20.264	20.593	20.957	 18381	134.498990	+47.508703
134.516879	+53.175529	wd	DA          	0854+533  	J085804.05+531031.9	   26.7	247.8	17.815	18.052	18.515	18.844	19.201	 28751	134.516879	+53.175529
134.519281	-00.526999	wd	DA:         	          	J085804.62-003137.1	       	     	20.563	20.359	20.652	20.865	20.996	 16180	134.519281	-00.526999
134.538330	+02.797334	wd	DA_auto     	          	J085809.19+024750.4	    5.8	203.7	20.665	20.242	20.155	20.169	20.443	  8448	134.538330	+02.797334
134.546323	+00.626679	wd	DA          	0855+008  	J085811.11+003736.0	   14.1	192.5	18.738	18.590	18.934	19.208	19.543	 18618	134.546323	+00.626679
134.551322	+58.416569	wd	DA          	0854+586  	J085812.31+582459.6	    2.4	217.8	20.079	19.651	19.857	20.091	20.206	 13530	134.551322	+58.416569
134.551322	+58.416569	wd	DA          	0854+586  	J085812.31+582459.6	    2.4	217.8	20.079	19.651	19.857	20.091	20.206	 13194	134.551322	+58.416569
134.551322	+58.416569	wd	DA          	0854+586  	J085812.31+582459.6	    2.4	217.8	20.079	19.651	19.857	20.091	20.206	 13246	134.551322	+58.416569
134.551656	+32.610492	wd	DA+M        	          	J085812.39+323637.7	    4.7	137.6	19.886	19.698	19.838	19.525	18.924	  9674	134.551656	+32.610492
134.561350	+29.907506	wd	DA_auto     	          	J085814.72+295427.0	    4.1	194.4	18.613	18.505	18.903	19.165	19.440	 20024	134.561350	+29.907506
134.584830	+32.920223	wd	DA_auto     	          	J085820.35+325512.8	       	     	20.501	20.420	20.783	21.165	21.430	 19207	134.584830	+32.920223
134.612388	+00.331118	wd	DA          	0855+005  	J085826.97+001952.0	    8.4	185.7	19.420	19.085	19.125	19.235	19.322	  9730	134.612388	+00.331118
134.612388	+00.331118	wd	DA          	0855+005  	J085826.97+001952.0	    8.4	185.7	19.420	19.085	19.125	19.235	19.322	  9984	134.612388	+00.331118
134.620035	+44.264983	wd	DA_auto     	          	J085828.80+441553.9	   18.9	219.1	18.600	18.302	18.327	18.479	18.604	  9859	134.620035	+44.264983
134.627815	+09.757539	wd	DA_auto     	          	J085830.67+094527.1	   24.8	229.0	19.904	19.711	20.001	20.246	20.436	 16845	134.627815	+09.757539
134.631489	+42.489590	wd	DA_auto     	          	J085831.55+422922.5	  303.2	227.6	18.943	18.525	18.460	18.473	18.579	  8281	134.631489	+42.489590
134.654833	+00.293441	wd	DA          	0856+004  	J085837.15+001736.3	       	     	20.357	20.225	20.570	20.772	21.896	 17343	134.654833	+00.293441
134.659892	+35.944178	wd	DA_auto     	          	J085838.37+355639.0	       	     	19.982	19.870	20.192	20.536	21.044	 19580	134.659892	+35.944178
134.665952	+44.175059	wd	DA_auto     	          	J085839.82+441030.2	   27.6	188.3	18.303	17.873	17.846	17.930	18.094	  9040	134.665952	+44.175059
134.682450	+03.804871	wd	DA_auto     	          	J085843.78+034817.5	   13.5	185.4	20.175	19.705	19.998	20.203	20.730	 14318	134.682450	+03.804871
134.687482	+39.764696	wd	DA_auto     	          	J085844.99+394552.9	    8.1	282.8	19.574	19.603	19.992	20.249	20.571	 23518	134.687482	+39.764696
134.697839	+37.187665	wd	DA+M        	          	J085847.48+371115.5	   11.6	180.3	19.822	20.042	20.059	19.584	19.243	  7423	134.697839	+37.187665
134.710391	+51.878969	wd	DA          	0855+520  	J085850.49+515244.2	   28.7	222.8	18.387	18.372	18.701	19.011	19.386	 19905	134.710391	+51.878969
134.711086	+03.377022	wd	DA_auto     	          	J085850.66+032237.2	   25.8	282.7	20.052	19.519	19.310	19.252	19.349	  7552	134.711086	+03.377022
134.716110	+32.776604	wd	DA_auto     	0855+329  	J085851.86+324635.7	   32.0	214.4	17.483	17.192	17.481	17.776	18.057	 16010	134.716110	+32.776604
134.716311	+39.612049	wd	DA_auto     	          	J085851.91+393643.3	    6.1	331.4	19.852	19.750	20.130	20.449	20.422	 20314	134.716311	+39.612049
134.743720	+30.208695	wd	DAB         	          	J085858.49+301231.3	   25.8	206.8	17.867	17.684	17.883	18.077	18.290	 30398	134.743720	+30.208695
134.749283	+05.132557	wd	DA_auto     	          	J085859.82+050757.2	    4.7	175.2	19.645	19.188	19.498	19.713	19.827	 13873	134.749283	+05.132557
134.763973	+57.848225	wd	DA          	0855+580  	J085903.35+575053.6	   11.2	171.9	20.491	20.111	20.146	20.242	20.296	  9962	134.763973	+57.848225
134.763973	+57.848225	wd	DA          	0855+580  	J085903.35+575053.6	   11.2	171.9	20.491	20.111	20.146	20.242	20.296	  9769	134.763973	+57.848225
134.763973	+57.848225	wd	DA          	0855+580  	J085903.35+575053.6	   11.2	171.9	20.491	20.111	20.146	20.242	20.296	  9978	134.763973	+57.848225
134.768159	+38.111551	wd	DA_auto     	          	J085904.35+380641.5	   12.9	209.9	19.587	19.269	19.536	19.717	19.995	 14537	134.768159	+38.111551
134.775932	+01.326796	wd	DA          	0856+015  	J085906.22+011936.4	   15.0	187.0	18.333	18.729	19.135	19.525	19.790	 61017	134.775932	+01.326796
134.782236	+40.524421	wd	DA+M        	          	J085907.73+403127.9	    7.9	154.4	20.450	20.004	20.251	20.243	19.924	 11637	134.782236	+40.524421
134.797016	+04.585326	wd	DA+M        	          	J085911.28+043507.1	    4.9	 30.8	19.583	19.264	19.007	18.199	17.625	  6300	134.797016	+04.585326
134.799035	+57.011938	wd	DA          	0855+572  	J085911.76+570042.9	   11.5	140.2	20.585	20.553	20.897	21.161	20.968	 19672	134.799035	+57.011938
134.799035	+57.011938	wd	DA          	0855+572  	J085911.76+570042.9	   11.5	140.2	20.585	20.553	20.897	21.161	20.968	 19558	134.799035	+57.011938
134.799035	+57.011938	wd	DA          	0855+572  	J085911.76+570042.9	   11.5	140.2	20.585	20.553	20.897	21.161	20.968	 19626	134.799035	+57.011938
134.810975	+32.953383	wd	DQ          	          	J085914.63+325712.1	  320.8	269.8	15.104	15.081	15.141	15.275	15.494	 10735	134.810975	+32.953383
134.833169	+35.125224	wd	DB          	          	J085919.96+350730.8	   60.3	192.3	17.289	17.379	17.668	17.963	18.229	 17385	134.833169	+35.125224
134.841296	+04.636767	wd	DA_auto     	          	J085921.91+043812.3	   16.7	287.2	18.348	18.198	18.495	18.777	18.944	 19149	134.841296	+04.636767
134.845981	+38.866222	wd	DC:         	          	J085923.03+385158.3	   32.5	166.7	20.257	20.127	20.240	20.362	20.838	 11255	134.845981	+38.866222
134.876712	+10.544774	wd	DA          	          	J085930.41+103241.1	    7.3	244.0	19.765	19.640	19.952	20.213	20.423	 21079	134.876712	+10.544774
134.879489	+58.151500	wd	DA+M        	0855+583  	J085931.07+580905.3	   18.6	170.3	20.292	19.552	19.757	19.601	19.018	 10229	134.879489	+58.151500
134.879489	+58.151500	wd	DA+M        	0855+583  	J085931.07+580905.3	   18.6	170.3	20.292	19.552	19.757	19.601	19.018	 10209	134.879489	+58.151500
134.879489	+58.151500	wd	DA+M        	0855+583  	J085931.07+580905.3	   18.6	170.3	20.292	19.552	19.757	19.601	19.018	 10102	134.879489	+58.151500
134.881649	+31.803752	wd	DA_auto     	          	J085931.59+314813.5	    5.6	163.9	18.881	19.252	19.771	20.081	20.848	 52886	134.881649	+31.803752
134.899992	-00.797132	wd	DA          	          	J085935.99-004749.6	       	     	19.663	19.762	20.131	20.460	20.810	 23194	134.899992	-00.797132
134.905459	+08.357322	wd	DA_auto     	          	J085937.31+082126.3	    9.4	146.5	18.573	18.681	19.061	19.381	19.768	 23651	134.905459	+08.357322
134.923358	+01.957346	wd	DA          	0857+021  	J085941.60+015726.4	   14.3	199.8	19.788	19.645	19.968	20.278	20.762	 18550	134.923358	+01.957346
134.934136	+50.680836	wd	DA          	0856+508  	J085944.19+504051.0	   23.1	160.1	16.812	17.099	17.533	17.876	18.348	 32122	134.934136	+50.680836
134.936481	+02.806341	wd	DA_auto     	          	J085944.75+024822.8	    7.4	 10.6	20.623	20.276	20.490	20.867	21.280	 13173	134.936481	+02.806341
134.947173	+42.353632	wd	DA_auto     	0856+425  	J085947.32+422113.0	   58.4	236.9	17.991	17.748	18.018	18.264	18.515	 14863	134.947173	+42.353632
134.949990	+09.421021	wd	DA:         	          	J085947.99+092515.6	   40.7	167.2	19.403	19.771	20.142	20.538	20.932	 52941	134.949990	+09.421021
134.954830	+40.536681	wd	DA_auto     	          	J085949.15+403212.0	   46.0	223.9	19.784	19.332	19.289	19.325	19.485	  8624	134.954830	+40.536681
134.959581	-00.061019	wd	DB          	          	J085950.29-000339.6	    2.0	150.8	20.022	20.188	20.556	20.789	20.981	 25289	134.959581	-00.061019
134.965398	+08.605056	wd	DA_auto     	          	J085951.69+083618.2	   27.6	238.7	18.986	18.603	18.627	18.734	18.945	  9692	134.965398	+08.605056
134.974069	+46.676734	wd	DB          	          	J085953.77+464036.2	   10.4	116.1	18.807	18.889	19.196	19.430	19.742	 17379	134.974069	+46.676734
134.975075	+41.911472	wd	DA_auto     	          	J085954.01+415441.2	   44.8	122.4	18.246	17.798	17.836	17.919	18.047	  9190	134.975075	+41.911472
134.976241	+49.425136	wd	DA_auto     	          	J085954.29+492530.4	   28.6	246.0	18.662	18.659	19.110	19.375	19.670	 23183	134.976241	+49.425136
134.985294	+08.435426	wd	DA_auto     	          	J085956.47+082607.5	   16.5	334.7	19.108	18.750	19.059	19.132	19.096	 15623	134.985294	+08.435426
134.988157	+05.481595	wd	DB          	          	J085957.15+052853.7	       	     	19.957	20.143	20.392	20.732	20.693	 22028	134.988157	+05.481595
134.988344	+57.547209	wd	DBZ         	0856+577  	J085957.20+573249.9	   12.0	165.5	18.960	19.000	19.292	19.481	19.827	 16010	134.988344	+57.547209
134.988344	+57.547209	wd	DBZ         	0856+577  	J085957.20+573249.9	   12.0	165.5	18.960	19.000	19.292	19.481	19.827	 16454	134.988344	+57.547209
134.988344	+57.547209	wd	DBZ         	0856+577  	J085957.20+573249.9	   12.0	165.5	18.960	19.000	19.292	19.481	19.827	 16149	134.988344	+57.547209
134.993552	+02.472940	wd	DA_auto     	          	J085958.45+022822.5	    2.5	314.6	20.441	20.098	20.110	20.224	20.353	  9558	134.993552	+02.472940
134.996648	+04.018261	wd	DA_auto     	          	J085959.19+040105.7	   18.3	172.2	20.128	19.846	20.146	20.297	20.294	 15819	134.996648	+04.018261
135.008538	+02.907687	wd	DA_auto     	          	J090002.04+025427.6	   24.7	208.8	20.846	20.456	20.575	20.784	21.075	 10637	135.008538	+02.907687
135.023200	+06.259830	wd	DA_auto     	          	J090005.56+061535.3	   41.0	155.9	17.455	17.279	17.595	17.901	18.178	 18729	135.023200	+06.259830
135.028765	+00.251918	wd	DA          	0857+004  	J090006.90+001506.9	   45.4	152.7	19.867	19.806	20.163	20.433	20.485	 21383	135.028765	+00.251918
135.058858	+56.282374	wd	DA          	0856+564  	J090014.12+561656.5	   33.7	187.3	20.757	20.363	20.425	20.475	20.292	 10450	135.058858	+56.282374
135.058858	+56.282374	wd	DA          	0856+564  	J090014.12+561656.5	   33.7	187.3	20.757	20.363	20.425	20.475	20.292	  9709	135.058858	+56.282374
135.058858	+56.282374	wd	DA          	0856+564  	J090014.12+561656.5	   33.7	187.3	20.757	20.363	20.425	20.475	20.292	 10526	135.058858	+56.282374
135.059918	+33.194449	wd	DA_auto     	          	J090014.38+331140.0	  101.2	198.7	18.880	18.534	18.595	18.705	18.978	  9943	135.059918	+33.194449
135.060438	+37.963708	wd	DA_auto     	          	J090014.50+375749.3	    4.6	239.4	18.983	18.939	19.320	19.516	19.864	 21566	135.060438	+37.963708
135.081245	+00.754913	wd	DA          	0857+009  	J090019.49+004517.6	   27.0	320.2	20.256	19.872	20.162	20.387	20.366	 13831	135.081245	+00.754913
135.117853	+07.579362	wd	DB_Z:       	          	J090028.28+073445.7	   25.6	219.0	19.868	19.834	20.102	20.286	20.533	 16107	135.117853	+07.579362
135.128970	+02.169284	wd	DC          	0857+023  	J090030.95+021009.4	   80.7	243.0	19.629	19.481	19.546	19.637	19.765	 10446	135.128970	+02.169284
135.154867	+32.126485	wd	DA_auto     	          	J090037.16+320735.3	   24.7	 60.6	18.921	18.564	18.825	18.989	19.275	 16896	135.154867	+32.126485
135.157232	+31.687201	wd	DA_auto     	          	J090037.73+314113.9	   11.2	101.4	20.495	20.086	20.300	20.579	20.882	 13288	135.157232	+31.687201
135.159163	-00.763425	wd	DB          	          	J090038.19-004548.3	   14.1	215.5	19.328	19.402	19.745	20.058	20.228	 18261	135.159163	-00.763425
135.174718	+01.264132	wd	DA          	0858+014  	J090041.93+011550.8	    6.8	268.1	20.214	19.909	19.879	20.028	19.814	  9292	135.174718	+01.264132
135.183161	+57.084207	wd	DA          	0856+572  	J090043.95+570503.1	   13.1	139.4	20.097	19.904	20.173	20.280	21.056	 18421	135.183161	+57.084207
135.183161	+57.084207	wd	DA          	0856+572  	J090043.95+570503.1	   13.1	139.4	20.097	19.904	20.173	20.280	21.056	 16020	135.183161	+57.084207
135.183161	+57.084207	wd	DA          	0856+572  	J090043.95+570503.1	   13.1	139.4	20.097	19.904	20.173	20.280	21.056	 17004	135.183161	+57.084207
135.198509	+55.690611	wd	DC          	0857+558  	J090047.64+554126.1	  120.5	228.4	20.365	19.963	19.632	19.676	19.750	  6908	135.198509	+55.690611
135.208782	+00.047054	wd	DA          	0858+002  	J090050.10+000249.3	   37.5	201.0	19.171	18.769	18.952	19.136	19.377	 12705	135.208782	+00.047054
135.216311	+03.530379	wd	DQ:         	          	J090051.91+033149.3	  121.6	272.2	18.854	18.567	18.503	18.551	18.697	 10090	135.216311	+03.530379
135.219741	+37.493555	wd	DC:         	          	J090052.73+372936.7	   37.5	188.1	19.741	19.515	19.598	19.820	19.641	 10485	135.219741	+37.493555
135.224195	+31.005982	wd	DA_auto     	          	J090053.80+310021.5	   67.1	 91.7	19.685	19.235	19.095	19.092	18.960	  7807	135.224195	+31.005982
135.242579	+03.613306	wd	DA_auto     	          	J090058.21+033647.9	    2.1	152.7	18.895	18.927	19.330	19.604	19.953	 25416	135.242579	+03.613306
135.249400	+06.489054	wd	DA_auto     	          	J090059.85+062920.5	   36.7	137.3	17.654	17.731	18.094	18.367	18.579	 24069	135.249400	+06.489054
135.281862	+38.782994	wd	DC:         	          	J090107.64+384658.7	   67.9	222.0	18.681	18.247	18.170	18.176	18.205	 10080	135.281862	+38.782994
135.317409	+00.145088	wd	DA          	0858+003  	J090116.17+000842.3	   24.7	167.7	19.730	19.274	19.480	19.739	19.883	 12747	135.317409	+00.145088
135.319373	+30.176472	wd	DA_auto     	          	J090116.64+301035.2	   15.7	174.2	17.461	17.910	18.409	18.772	19.165	 79747	135.319373	+30.176472
135.323554	+05.696292	wd	DA_auto     	          	J090117.65+054146.6	   27.7	282.5	20.148	19.677	19.837	19.919	20.242	 10774	135.323554	+05.696292
135.345856	+43.689278	wd	DA_auto     	          	J090123.00+434121.4	   13.0	145.1	19.858	19.535	19.809	20.071	20.470	 15213	135.345856	+43.689278
135.349363	+35.104559	wd	DA_auto     	          	J090123.84+350616.4	   21.4	214.4	18.840	18.443	18.655	18.888	19.152	 12613	135.349363	+35.104559
135.359685	+38.451545	wd	DA_auto     	          	J090126.32+382705.5	   13.8	148.3	19.863	19.964	20.329	20.699	20.802	 23453	135.359685	+38.451545
135.371916	+47.475501	wd	DA_auto     	          	J090129.25+472831.8	   12.0	311.3	17.384	17.681	18.162	18.482	18.769	 30527	135.371916	+47.475501
135.392906	+08.378308	wd	DA_auto     	          	J090134.29+082241.9	   38.3	252.3	18.913	18.830	19.170	19.460	19.976	 20496	135.392906	+08.378308
135.395120	+00.057540	wd	DA          	0859+002  	J090134.82+000327.1	   12.0	168.1	19.203	19.296	19.701	20.006	20.318	 26346	135.395120	+00.057540
135.416114	+10.375283	wd	DA_auto     	          	J090139.86+102231.0	   27.1	165.2	18.277	18.227	18.600	18.877	19.065	 19929	135.416114	+10.375283
135.416513	+06.096499	wd	DA_auto     	          	J090139.96+060547.3	   36.3	 35.6	19.068	18.657	18.778	18.889	19.072	 10705	135.416513	+06.096499
135.422805	+43.998024	wd	DA+M:       	          	J090141.47+435952.8	   10.7	178.6	19.464	19.188	19.445	19.677	19.760	 34123	135.422805	+43.998024
135.441011	+48.252693	wd	DA_auto     	          	J090145.84+481509.6	   36.0	220.1	17.640	17.744	18.146	18.503	18.758	 24324	135.441011	+48.252693
135.444277	+09.674944	wd	DB          	          	J090146.62+094029.7	   12.7	215.6	18.627	18.688	18.918	19.138	19.451	 15894	135.444277	+09.674944
135.452611	+00.837763	wd	DA          	0859+010  	J090148.62+005015.9	   31.2	255.7	19.498	19.079	19.108	19.202	19.327	  9633	135.452611	+00.837763
135.461438	+09.203162	wd	DA          	          	J090150.74+091211.3	   16.6	213.2	18.899	18.618	18.667	18.707	18.824	  7732	135.461438	+09.203162
135.464234	+00.950390	wd	DA          	0859+011  	J090151.41+005701.4	   17.4	178.1	19.676	19.330	19.587	19.821	20.157	 14114	135.464234	+00.950390
135.466082	+05.329767	wd	DA_auto     	          	J090151.85+051947.1	   11.1	145.7	20.273	20.140	20.434	20.655	20.736	 18261	135.466082	+05.329767
135.487073	+06.239305	wd	DA_auto     	          	J090156.89+061421.4	       	     	20.691	20.440	20.438	20.549	20.598	  9766	135.487073	+06.239305
135.491333	+57.859964	wd	DQhot       	0858+580  	J090157.92+575135.8	   66.3	 85.8	18.392	18.495	18.850	19.061	19.420	 12837	135.491333	+57.859964
135.501455	+50.623056	wd	DQ          	0858+508  	J090200.34+503723.0	   98.0	222.6	19.539	19.239	19.201	19.234	19.250	 10092	135.501455	+50.623056
135.542883	+33.586058	wd	DA_auto     	0859+337  	J090210.29+333509.8	   37.9	216.4	16.150	16.302	16.726	17.020	17.351	 25966	135.542883	+33.586058
