#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-29T22:27:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5400fc0536c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:III/235B&tab:{III/235B/catalog}&key:source=III/235B/catalog&HTTPPRM:&&-ref=VIZ5400fc0536c9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=III/235B/catalog
#-order=I
#-out=WD
#-out=RAB1950
#-out=DEB1950
#-out=SpType
#-out=bNote
#-out=Names
#-out=Vmag
#-sort=Vmag
#Vmag=<14
#-out=B-V
#-out=U-B
#-out=Teff
#-out=pm
#-out=pmPA
#WDcat=WDcat
#

#RESOURCE=yCat_3235
#Name: III/235B
#Title: Spectroscopically Identified White Dwarfs (McCook+, 2008)
#Coosys	B1950_1950.000:	eq_FK4 B1950
#Table	III_235B_catalog:
#Name: III/235B/catalog
#Title: Data for the White Dwarfs
#Column	_RAJ2000	(F7.3)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F7.3)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	WD	(a10)	White Dwarf (WD) number (1)	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	?Hours RA, Equinox=B1950, Epoch=1950.0 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	?Degrees Dec, Equinox=B1950, Epoch=1950.0 (2)	[ucd=pos.eq.dec;meta.main]
#Column	SpType	(a9)	Spectral type (definitions in the paper, or in file "\begin{tex}\vFile{III/235B/./preface.tex}{preface.tex}\end{tex}").	[ucd=src.spType]
#Column	bNote	(A1)	[*b?] 'b' if white dwarf is member of binary, '*' indicates a note in file "\begin{tex}\vFile{III/235B/./notes.dat}{notes.dat}\end{tex}"	[ucd=meta.code]
#Column	Names	(a26)	Other names for this star, see table Names	[ucd=meta.id]
#Column	Vmag	(F5.2)	?V or other magnitude (see n_Vmag)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F6.3)	?U-B color in the UBV system	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	Teff	(I3)	?Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	pm	(F7.4)	?Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	?Position angle of proper motion vector	[ucd=pos.pm;pos.posAng]
_RAJ2000	_DEJ2000	WD	RAB1950	DEB1950	SpType	bNote	Names	Vmag	B-V	U-B	Teff	pm	pmPA
        	        	2326+049  	        	        	DAV4     	*	ZZ Psc                    	13.05	 0.160	-0.640	   	 0.5263	239.5
000.5431	-43.1577	2359-434  	23 59 34	-43 25.6	sd       	 	000210-430955LHS1005      	13.05	 0.070	-0.870	   	 0.9150	137.7
088.1127	+15.8866	0549+158  	05 49 34	+15 52.7	DA1      	 	055227+155310LTT11733     	13.06	-0.250	-1.160	   	 0.2100	154.0
        	        	0738-172  	        	        	DZA6.7   	 	NLTT18271    EG054        	13.06	 0.240	-0.620	   	 2.0100	128.3
        	        	1105-048  	        	        	DA3.3    	 	L0970-030    LTT 4099     	13.06	 0.035	-0.688	   	 0.4400	186.0
        	        	1105-048  	        	        	         	b	                          	13.06	 0.040	      	   	 0.4300	180.0
        	        	2111+498  	        	        	DA3      	 	EG244        RE           	13.06	-0.260	-1.170	   	       	
        	        	1031-114  	        	        	         	 	LTT 3870     EG070        	13.07	-0.165	-0.996	   	 0.3440	265.5
318.1812	+50.1017	2111+498  	21 11 03	+49 53.7	DA2      	 	211244+500617GD 394       	13.08	-0.240	-1.160	   	       	 90.0
        	        	0549+158  	        	        	         	 	                          	13.09	      	      	   	       	
161.0397	-69.2965	1042-690  	10 42 36	-69 02.0	DA3      	 	             BPM06502     	13.09	-0.040	-0.840	   	 0.2780	267.0
        	        	1042-690  	        	        	DA2.5+DM 	b	L0101-080    WG 17        	13.09	 0.040	-0.840	   	 0.1760	269.4
        	        	2111+498  	        	        	DA1.3    	 	GR399                     	13.09	-0.240	-1.150	   	       	
        	        	2309+105  	        	        	DA.85    	 	KUV          GD 246       	13.09	      	      	   	 0.1420	 94.0
        	        	2309+105  	        	        	DA.87    	 	EG233                     	13.09	-0.318	-1.187	   	       	
074.9588	-10.2632	0457-103  	04 57 28	-10 20.1	DA       	*	045950-101544HD 32008B    	13.10	      	      	   	 0.1350	171.0
        	        	0738-172  	        	        	DZ6      	 	LP783-003    LTT 2915     	13.10	      	      	   	 1.2600	117.0
        	        	1105-048  	        	        	DA3.5    	 	EG076        NLTT26379    	13.10	      	      	   	 0.4510	189.0
        	        	2226-210  	        	        	         	 	                          	13.10	      	      	   	       	
        	        	2309+105  	        	        	DA.88    	 	                          	13.10	-0.330	-1.280	   	       	
352.1973	 +5.2463	2326+049  	23 26 16	+04 58.5	DA4      	 	232847+051454G029-038     	13.10	 0.200	-0.650	   	 0.5600	237.0
        	        	0134+833  	        	        	DA2.8    	 	GD 419       LP002-534    	13.11	      	      	   	 0.1470	311.8
348.0898	+10.7835	2309+105  	23 09 50	+10 30.7	DA1      	 	231221+104707BPM97895     	13.11	-0.320	-1.230	   	 0.1280	 95.0
        	        	2341+322  	        	        	DA3.7    	 	                          	13.11	      	      	   	       	
        	        	0943+441  	        	        	DA3.8    	 	EG067        LTT12591     	13.12	 0.070	-0.540	   	 0.3100	359.0
018.0486	-26.2232	0109-264  	01 09 48	-26 29.3	DA1      	 	             SB 485       	13.15	-0.240	-1.040	   	 0.0000	
        	        	0738-172  	        	        	DZQ6     	*	LHS 235                   	13.16	      	      	   	 1.2180	116.2
        	        	2115+339  	        	        	         	 	V2027 Cyg    WD2117+342J  	13.16	      	      	   	       	
        	        	1615-154  	        	        	         	 	                          	13.17	      	      	   	 0.2310	224.7
135.5683	 -4.1192	0859-039  	08 59 46	-03 55.3	DA2      	 	090217-040638RE           	13.18	      	      	   	 0.0160	304.6
        	        	1105-048  	        	        	DA3+dM3  	 	                          	13.18	      	      	   	 0.4440	188.1
285.0472	+70.6663	1900+705  	19 00 40	+70 35.2	DXP5     	*	190010+703932GL 742       	13.18	 0.050	-0.860	   	 0.5220	 10.4
        	        	0859-039  	        	        	DA2.2    	 	                          	13.19	-0.168	-0.951	   	       	
        	        	1900+705  	        	        	DAP4.5   	 	                          	13.19	 0.050	-0.850	   	       	  9.1
        	        	1900+705  	        	        	DAP4     	 	G260-015                  	13.20	 0.040	-0.860	   	 0.5100	  8.0
319.2797	+34.2068	2115+339  	21 15 03	+33 59.8	PG1159   	*	211707+341222RX J         	13.20	      	      	160	       	
        	        	2331-475  	        	        	DA.89    	 	MCT          RE           	13.20	-0.300	      	   	       	
        	        	0205+250  	        	        	         	 	G035-029     OX25 6725    	13.21	      	      	   	 0.4200	105.0
        	        	1935+276  	        	        	DAV4.2   	 	                          	13.21	 0.290	-0.240	   	       	
032.1992	+25.2365	0205+250  	02 05 56	+25 00.1	DA4      	 	             LTT10723     	13.22	-0.040	-0.850	   	 0.4282	105.7
        	        	0135-052  	        	        	DA6.4    	 	                          	13.23	      	      	   	 0.6780	120.9
        	        	0205+250  	        	        	DA2.5    	 	                          	13.23	-0.040	-0.840	   	       	
159.2656	 -0.1398	1034+001  	10 34 30	+00 07.2	DOZ1     	*	             PG           	13.23	-0.365	-1.274	100	       	
        	        	2140+207  	        	        	         	 	L1363-003    GL 836.5     	13.23	 0.170	-0.720	   	 0.6900	197.5
        	        	1900+705  	        	        	DXP5     	 	EG129        LHS3424      	13.24	 0.060	-0.840	  0	 0.5360	  9.6
        	        	2140+207  	        	        	         	 	G126-027     EG148        	13.24	 0.160	-0.700	   	 0.6900	197.4
146.6650	+43.9160	0943+441  	09 43 30	+44 08.6	DA4      	 	094639+435446G116-052     	13.25	 0.070	-0.550	   	 0.2972	  0.1
        	        	1900+705  	        	        	DAP4.2   	 	LFT1446      GW+70 8247   	13.25	      	      	   	 0.4900	 12.4
311.0758	-68.0884	2039-682  	20 39 36	-68 16.0	DA3      	 	             L0116-079    	13.25	-0.060	-0.810	   	 0.2470	138.0
        	        	1713+695  	        	        	DA3      	 	                          	13.26	 0.050	-0.690	   	 0.3450	189.4
354.7111	 -7.6896	2336-079  	23 36 16	-07 58.0	DA       	 	             GJ4355       	13.26	      	      	   	       	
        	        	1713+695  	        	        	DA3.1    	 	G240-051     LTT18455     	13.27	 0.070	-0.700	   	 0.3500	191.0
325.6686	+20.9971	2140+207  	21 40 22	+20 46.6	DQ6      	*	214241+210019LP458-064    	13.27	 0.170	-0.720	   	 0.6600	201.0
        	        	1713+695  	        	        	DA3.2    	 	GR370                     	13.29	 0.090	-0.730	   	 0.3600	191.0
        	        	0512+326  	        	        	DA1.2    	 	RE           HD 33959C    	13.30	      	      	   	 0.0170	321.3
        	        	0943+441  	        	        	         	 	                          	13.30	 0.070	-0.570	   	       	
        	        	1213+528  	        	        	         	b	EG087        EG UMa       	13.30	 0.500	-0.490	   	 0.1250	204.9
        	        	0943+441  	        	        	DA3.5    	 	SA029-130    US 945       	13.31	 0.070	-0.560	   	 0.3040	  4.0
002.0721	+51.3815	0005+511  	00 05 41	+51 06.2	DO       	*	000822+512219KPD          	13.32	-0.300	-1.220	120	       	
        	        	0943+441  	        	        	DA3      	 	                          	13.32	      	      	   	       	
        	        	1254+223  	        	        	DA1.3    	 	                          	13.33	-0.270	-1.200	   	       	185.0
302.2718	-60.4269	2004-605  	20 04 51	-60 34.4	DA       	 	200905-602538RE           	13.33	      	      	   	       	
183.9414	+52.5208	1213+528  	12 13 18	+52 48.0	DA4      	*	             C1           	13.34	 0.530	-0.480	   	 0.1200	206.0
        	        	2028+390  	        	        	DA2.0    	 	                          	13.34	      	      	   	       	
        	        	1254+223  	        	        	DA1.5    	 	EG187        RE           	13.35	-0.281	      	   	 0.2080	188.4
013.3247	-32.9988	0050-332  	00 50 54	-33 16.2	DA1      	 	005317-325950SB 360       	13.36	-0.250	-1.070	   	       	285.0
        	        	0050-332  	        	        	         	 	EUV          MCT          	13.37	      	      	   	 0.0450	300.8
307.4813	+39.2251	2028+390  	20 28 05	+39 03.4	DA2      	 	202956+391322EG243        	13.37	-0.150	-0.980	   	       	 60.0
        	        	0325+263  	        	        	         	 	                          	13.38	      	      	   	       	
        	        	1254+223  	        	        	DA1.3    	 	LP378-099    GD 153       	13.38	      	      	   	 0.2000	178.0
        	        	0612+177  	        	        	DAB1.9   	 	EG046        LTT11818     	13.39	-0.170	-0.970	   	 0.3540	190.1
        	        	2028+390  	        	        	         	 	GR397        RE           	13.39	      	      	   	 0.1760	 59.4
011.7748	-11.8788	0044-121  	00 44 35	-12 09.1	PG1159   	*	004703-115213NGC  246     	13.40	      	      	150	       	
072.5583	+17.7001	0447+176  	04 47 20	+17 36.9	DB       	 	             KUV          	13.40	      	-0.800	   	       	
        	        	0612+177  	        	        	         	 	G104-027                  	13.40	-0.150	-0.980	   	 0.4300	188.0
        	        	0646-253  	        	        	DA1.8    	 	WD0648-253J               	13.40	-0.100	      	   	       	
110.8327	-27.7878	0721-276  	07 21 19	-27 41.4	DA1      	 	072319-274723RE           	13.40	 0.100	      	   	       	
        	        	1615-154  	        	        	DA1.7    	 	G153-041     LTT 6497     	13.40	-0.250	-1.020	   	 0.2360	226.8
258.2743	+69.5207	1713+695  	17 13 28	+69 34.9	DA3      	 	             GW+69 6829   	13.40	      	      	   	 0.3400	190.0
        	        	2004-605  	        	        	DA1.1    	 	                          	13.40	-0.300	      	   	       	
        	        	2047+372  	        	        	DA3.6    	 	LTT16093     EG261        	13.40	 0.000	      	   	 0.2200	 46.0
337.4115	-20.8353	2226-210  	22 26 55	-21 05.5	DAO      	 	             NGC 7293     	13.40	      	      	   	       	
        	        	1254+223  	        	        	         	 	                          	13.42	-0.250	-1.180	   	       	
        	        	1615-154  	        	        	DA1.5    	 	L0770-003    EG118        	13.42	-0.210	-1.040	   	 0.2480	226.0
        	        	1615-154  	        	        	         	 	NLTT42430                 	13.42	-0.205	-1.133	   	 0.2700	228.0
        	        	2028+390  	        	        	DA1.5    	 	GD 391                    	13.42	-0.140	-0.990	   	       	
        	        	2331-475  	        	        	DA1      	 	WD2334-472J               	13.42	-0.310	-1.180	   	       	
        	        	2226-210  	        	        	         	 	                          	13.43	      	      	   	       	
        	        	2331-475  	        	        	DA.90    	 	                          	13.44	-0.296	-1.168	   	       	
        	        	1615-154  	        	        	         	 	                          	13.45	-0.220	-1.170	   	       	
        	        	2039-682  	        	        	         	 	BPM13491                  	13.45	      	      	   	       	
        	        	1544-377  	        	        	DA4.5    	 	GJ 599B      L0481-060    	13.46	      	      	   	       	
        	        	2331-475  	        	        	DA1Z     	 	                          	13.46	      	      	   	       	
070.9210	-78.8606	0446-789  	04 46 30	-78 57.0	DA3      	 	044347-785136BPM03523     	13.47	-0.105	-1.025	   	 0.0600	
255.7878	-53.1809	1659-531  	16 59 09	-53 06.5	DA4      	*	             L0268-092    	13.47	 0.100	-0.700	   	 0.1340	175.0
148.8622	-71.2731	0954-710  	09 54 36	-71 02.0	DA5      	 	             BPM06082     	13.48	 0.120	-0.650	   	 0.1740	225.0
        	        	0752-146  	        	        	         	*	EG057        L0817-013    	13.50	-0.050	-0.800	   	       	191.9
        	        	1056-384  	        	        	DA2      	 	                          	13.50	-0.100	      	   	       	
        	        	1957+225  	        	        	         	 	                          	13.50	      	      	   	       	
        	        	2105-820  	        	        	DA4.5    	 	LTT 8381     L0024-052    	13.50	 0.270	-0.590	  0	 0.3660	
        	        	2226-210  	        	        	DAO.49   	 	PK 36-57     PHL 287      	13.52	      	      	   	       	
        	        	2039-682  	        	        	DA3.1    	 	EG140        LTT 8190     	13.53	 0.110	-0.780	   	       	
        	        	2337-760  	        	        	DA3.5    	*	LTT 9648     BPM15727     	13.53	 0.530	-0.110	   	       	
        	        	2226-210  	        	        	DAO.47   	*	                          	13.54	      	      	   	       	
        	        	1936+327  	        	        	DA2.5    	 	                          	13.55	 0.030	-0.880	   	 0.1530	207.0
        	        	0104-331  	        	        	         	 	BPM46931                  	13.56	-0.280	-1.100	   	       	
118.7745	-14.7701	0752-146  	07 52 48	-14 38.0	DA3      	 	             LTT 2980     	13.56	-0.020	-0.790	   	 0.3200	204.0
        	        	2105-820  	        	        	         	 	                          	13.56	 0.250	-0.600	   	       	
016.6926	-32.8824	0104-331  	01 04 24	-33 09.0	DA1      	 	             TON 191      	13.57	-0.290	-1.110	   	 0.1820	 77.0
        	        	1936+327  	        	        	DA2.4    	 	                          	13.58	-0.120	-0.880	   	       	
344.6973	+25.2631	2256+249  	22 56 22	+24 59.7	DA4      	*	             KUV          	13.58	 0.000	-0.880	   	       	115.0
        	        	1202+608  	        	        	DAO.93   	 	PG           LB 2197      	13.59	      	      	   	       	
247.1032	+36.7744	1626+368  	16 26 39	+36 52.4	DZA6     	 	162826+364551LHS3200      	13.59	 0.370	-0.730	   	 0.8900	326.9
294.6180	+32.8884	1936+327  	19 36 34	+32 46.5	DA2.5    	 	             GD 222       	13.59	-0.080	-0.900	   	 0.1190	208.0
        	        	1953-011  	        	        	DAH6.4   	 	                          	13.59	      	      	   	 0.8900	214.7
        	        	2004-605  	        	        	DA1      	 	                          	13.59	      	      	   	       	
353.5059	-47.2402	2331-475  	23 31 19	-47 31.0	DA       	 	233401-471351EUV          	13.59	      	      	   	       	
        	        	0115+159  	        	        	DQ5.6    	 	LHS1227      WOLF1516     	13.60	      	      	   	 0.6510	181.8
078.1396	+16.8689	0509+168  	05 09 40	+16 48.6	DA       	 	             KUV          	13.60	      	-0.100	   	       	
        	        	1026+002  	        	        	         	 	HE                        	13.60	 0.300	-0.490	   	       	
        	        	1143+321  	        	        	         	 	G148-007     PG           	13.60	 0.060	-0.670	   	 0.2921	207.1
        	        	1254+223  	        	        	         	 	PG           LTT13724     	13.60	      	      	  0	 0.1980	178.0
        	        	1424+503  	        	        	DA2      	b	                          	13.60	      	      	   	       	
        	        	1936+327  	        	        	DA       	 	                          	13.60	-0.100	-0.900	   	       	
        	        	2004-605  	        	        	DA1.2    	 	                          	13.60	      	      	   	       	
181.1625	+60.5351	1202+608  	12 02 07	+60 48.8	DAO      	 	             FEIGE 055    	13.61	-0.380	-1.250	   	       	
        	        	2105-820  	        	        	DA5      	 	BPM01266                  	13.61	 0.210	      	   	       	
304.7281	-57.3589	2014-575  	20 14 54	-57 30.9	DA       	 	201853-572056RE           	13.62	      	      	   	 0.0800	118.0
318.2793	-81.8171	2105-820  	21 05 12	-82 01.0	DA6      	 	             EG142        	13.62	 0.240	-0.610	   	 0.3700	167.0
        	        	0347+171  	        	        	DA1.5    	b	BD+16 0516   V471 TAURI   	13.64	      	      	   	       	
        	        	1143+321  	        	        	         	 	                          	13.64	      	      	   	 0.3080	204.0
        	        	0214+568  	        	        	         	 	EG017                     	13.65	-0.120	-1.100	   	       	
        	        	0347+171  	        	        	         	 	RE                        	13.65	      	      	   	       	
        	        	0615-591  	        	        	DB3.0    	 	L0182-061    NLTT16355    	13.65	      	      	   	 0.3300	190.0
102.2323	-25.3978	0646-253  	06 46 53	-25 20.4	DA2      	 	064855-252355RE           	13.65	      	      	   	       	
176.4880	+31.8221	1143+321  	11 43 21	+32 06.2	DA3.5    	b	114557+314934EG185        	13.65	 0.050	-0.680	   	 0.2800	203.0
        	        	1645+325  	        	        	         	 	KUV          PG           	13.65	-0.110	      	   	       	
        	        	1645+325  	        	        	DBV2.0   	 	                          	13.65	-0.110	-1.040	   	       	
        	        	0214+568  	        	        	DA2.5    	 	                          	13.66	      	      	   	       	
117.9201	-38.4794	0749-383  	07 49 54	-38 21.0	DA       	 	             NGC 2477-1   	13.66	-0.130	-0.950	   	       	
        	        	2256+249  	        	        	         	b	                          	13.67	 0.060	-0.940	   	       	
034.3840	+57.1140	0214+568  	02 14 00	+56 53.0	DA2      	 	             H PER1166    	13.68	-0.120	-0.920	   	 0.1600	 94.0
        	        	1143+321  	        	        	         	 	                          	13.68	 0.050	-0.660	   	 0.2830	202.0
324.2206	+12.7883	2134+125  	21 34 28	+12 33.8	PG1159   	*	             NGC 7094     	13.68	      	      	   	       	
        	        	2256+249  	        	        	DA3.5    	 	GD 245       EG232        	13.68	 0.040	-0.910	   	 0.1520	119.0
299.1228	 -1.0456	1953-011  	19 53 56	-01 10.2	DA6      	 	195630-010209G092-040     	13.69	 0.270	-0.550	   	 0.8220	212.2
        	        	1953-011  	        	        	         	 	LTT 7879     L0997-021    	13.69	 0.250	-0.600	   	 0.7900	211.9
        	        	1953-011  	        	        	DAH6.4   	 	LHS3501      LP634-001    	13.69	 0.270	-0.600	   	 0.8270	212.3
        	        	0715-703  	        	        	DA1.1    	 	WD0715-704J               	13.70	      	      	   	       	
        	        	1953-011  	        	        	DA6.4    	 	EG135        LFT1503      	13.70	      	      	   	 0.8400	213.0
        	        	1953-011  	        	        	DA5.9    	 	                          	13.70	      	      	   	       	
        	        	2014-575  	        	        	DA2      	 	L0210-114                 	13.70	-0.300	      	   	 0.0790	119.5
193.3837	-22.8729	1250-226  	12 50 52	-22 36.1	DAO.63   	b	             A66 35       	13.70	      	      	   	       	
        	        	0806-661  	        	        	DQ4      	 	L0097-003    BPM04834     	13.71	 0.030	      	   	 0.4730	128.0
        	        	1953-011  	        	        	DA6      	 	                          	13.71	 0.300	-0.610	   	       	
        	        	1844-223  	        	        	DA1.6    	 	                          	13.72	-0.212	-1.123	   	       	
        	        	1143+321  	        	        	DA3.3    	 	                          	13.73	      	      	   	       	
        	        	0435-088  	        	        	         	 	                          	13.75	 0.330	      	   	       	
218.0631	-81.3440	1425-811  	14 25 24	-81 07.0	DA6      	*	             BPM00784     	13.75	 0.250	      	   	 0.4500	208.0
        	        	1425-811  	        	        	DAV3.8   	 	MY Aps       EG110        	13.75	 0.250	-0.530	   	 0.4460	
        	        	1645+325  	        	        	DB2      	 	                          	13.75	-0.330	-1.000	   	       	
        	        	0435-088  	        	        	         	 	LHS 194      L0879-014    	13.76	 0.320	-0.530	   	 1.6600	167.1
        	        	0435-088  	        	        	DQ7      	 	                          	13.76	 0.320	-0.530	   	       	
069.4533	 -8.8197	0435-088  	04 35 24	-08 53.9	DQ7      	 	043747-084757LP655-042    	13.77	 0.330	      	   	 1.4900	171.0
        	        	0435-088  	        	        	DQ8.0    	 	EG041                     	13.77	 0.330	-0.720	   	 1.5720	171.2
        	        	0435-088  	        	        	         	 	                          	13.77	      	      	   	       	
        	        	0453+418  	        	        	DA3.3    	 	EG209                     	13.77	 0.230	-0.610	   	       	180.0
138.9779	+53.4187	0912+536  	09 12 27	+53 38.6	DCP7     	*	091600+532605LHS 262      	13.79	 0.300	-0.660	   	 1.5600	222.0
        	        	1104+602  	        	        	DA3      	 	LTT18157     LP093-370    	13.79	-0.020	-0.780	   	 0.1920	210.4
        	        	1229-012  	        	        	DA2.6    	 	HE                        	13.79	 0.110	-0.720	   	       	
005.3743	-26.4360	0018-267  	00 18 59	-26 42.8	DA       	 	             SGP 16       	13.80	      	      	   	       	
061.1442	+25.1477	0401+250  	04 01 33	+25 00.9	DA4      	 	             EG028        	13.80	 0.120	-0.560	   	 0.2800	146.0
        	        	0401+250  	        	        	DA4.2    	 	LP357-134    HG8-007      	13.80	 0.100	-0.580	   	 0.2530	148.6
076.5661	+14.8080	0503+147  	05 03 25	+14 44.5	DB       	 	             KUV          	13.80	      	-1.000	   	       	
        	        	0503+147  	        	        	DB       	 	                          	13.80	      	-1.000	   	       	
        	        	0509-007  	        	        	DA2      	 	                          	13.80	-0.300	      	   	       	
        	        	0631+107  	        	        	DA2      	 	RE                        	13.80	-0.180	-1.020	   	       	
        	        	1026+002  	        	        	DA2.9    	 	                          	13.80	      	      	  0	       	
        	        	1100+604  	        	        	DA2.8    	 	                          	13.80	-0.020	-0.810	  0	       	
166.9272	+59.9739	1104+602  	11 04 43	+60 14.8	DA3      	 	             EG075        	13.80	-0.020	      	   	 0.2430	229.8
        	        	1104+602  	        	        	DA3      	 	G197-004                  	13.80	-0.020	-0.810	   	 0.2700	225.0
        	        	1236-495  	        	        	DAV4.4   	 	LHS2594      V886 Cen     	13.80	 0.180	      	  0	 0.4900	255.6
352.9567	-28.8823	2329-291  	23 29 11	-29 09.5	DAWK     	 	             PHL 555      	13.80	      	      	   	 0.0190	 95.3
353.8999	-16.2934	2333-165  	23 33 00	-16 34.2	DA       	 	233536-161743MCT          	13.80	      	      	   	       	143.0
        	        	0401+250  	        	        	DA3.6    	 	G008-008     LB 1240      	13.81	 0.120	-0.580	   	 0.2500	149.0
        	        	0401+250  	        	        	         	 	GL 159.1                  	13.81	 0.110	-0.580	   	       	
150.1777	-12.0991	0958-118  	09 58 16	-11 51.5	DAB      	 	100042-120559HE           	13.81	-0.110	-1.050	   	       	
        	        	0004+330  	        	        	DA1.0    	 	EG203        RE           	13.82	-0.290	-1.210	   	 0.0780	231.0
019.5000	+16.1705	0115+159  	01 15 20	+15 55.0	DQ5      	*	011759+161045G033-049     	13.82	 0.110	-0.810	   	 0.6530	181.7
        	        	0115+159  	        	        	DQ6      	 	PG           LFT0122      	13.82	 0.100	-0.800	   	 0.6500	180.0
098.4630	+10.6909	0631+107  	06 31 05	+10 43.9	DA       	 	063350+104118KPD          	13.82	-0.170	-1.020	   	 0.1100	199.7
        	        	1606+422  	        	        	DA4.2    	*	EG116                     	13.82	 0.110	      	  0	 0.1800	
        	        	1957+225  	        	        	DAO.46   	 	PK 60-03                  	13.82	      	      	   	       	
352.9018	+41.0227	2329+407  	23 29 09	+40 44.9	DA3      	 	             EG160        	13.82	 0.030	-0.720	   	 0.2800	115.0
        	        	0115+159  	        	        	DQ6      	 	                          	13.83	 0.130	-0.780	   	 0.6470	181.7
        	        	0115+159  	        	        	DQ5.1    	 	                          	13.83	 0.140	-0.770	   	 0.6800	180.0
070.2424	+10.9791	0438+108  	04 38 12	+10 53.0	DA2      	 	             HZ 14        	13.83	-0.150	-1.040	   	 0.0900	 87.0
        	        	0509-007  	        	        	DA1.6    	 	                          	13.83	-0.258	-1.024	   	       	
        	        	1626+368  	        	        	DZA5.9   	 	                          	13.83	 0.190	      	   	 0.8930	326.7
        	        	0141-675  	        	        	__7.7    	 	L0088-059    LFT0158      	13.84	 0.450	-0.400	   	       	
        	        	0912+536  	        	        	DXP7     	 	NLTT21302    PG           	13.84	      	      	   	 1.5530	224.1
        	        	1626+368  	        	        	DZA5.8   	 	                          	13.84	 0.170	-0.650	   	 0.8991	327.1
001.8873	+33.2915	0004+330  	00 04 58	+33 00.8	DA       	 	000732+331725GD 002       	13.85	-0.280	-1.180	   	       	250.0
        	        	0115+159  	        	        	DC6      	 	EG009        NLTT 4320    	13.85	      	      	   	 0.6391	182.3
        	        	0912+536  	        	        	DCP7.0   	 	GL 339.1     SDSS         	13.85	 0.340	-0.520	  0	 1.5470	224.0
        	        	0912+536  	        	        	DBH7.0   	 	                          	13.85	 0.350	-0.520	   	 1.5500	223.5
242.0909	+42.0954	1606+422  	16 06 42	+42 13.5	DA5      	 	             C2           	13.85	 0.060	-0.540	   	 0.1760	308.0
        	        	1626+368  	        	        	DZA5.5   	 	EG119        GL 626.2     	13.85	 0.160	-0.660	  0	 0.8500	326.5
        	        	1626+368  	        	        	DZ5.5    	 	G180-057     ROSS 640     	13.85	 0.170	-0.670	   	 0.8600	322.0
063.2182	+11.8623	0410+117  	04 10 06	+11 44.2	DA3      	 	             HZ 02        	13.86	-0.050	-0.880	   	 0.1100	150.0
        	        	0438+108  	        	        	DA1.8    	 	EG042                     	13.86	-0.170	-1.050	   	 0.0910	 96.9
        	        	1626+368  	        	        	DZ6      	 	                          	13.86	 0.180	-0.680	   	 0.8640	326.4
        	        	0034-211  	        	        	DA2.9+dM 	 	BPM46460     G266-141     	13.87	      	      	   	 0.3160	229.0
        	        	1559+369  	        	        	DA4.5    	 	EG115        LTT14769     	13.88	      	      	   	 0.5400	168.0
        	        	1824+040  	        	        	DA5      	 	LTT15456     G021-015B    	13.89	 0.090	      	   	 0.3780	220.0
        	        	0031-274  	        	        	sdB      	 	GD 619                    	13.90	      	      	   	 0.0040	223.9
025.7400	-67.2960	0141-675  	01 41 36	-67 32.0	DA7      	 	             LTT 0934     	13.90	 0.430	-0.440	   	 1.0500	198.0
033.0188	 +8.7806	0209+085  	02 09 25	+08 32.8	DAB      	*	021204+084650HS           	13.90	      	      	   	 0.0800	104.4
052.2146	-27.1332	0326-273  	03 26 42	-27 18.6	DA5      	b	032848-271902L0587-077A   	13.90	      	      	   	 0.8390	 63.7
        	        	0347+171  	        	        	DA1.6    	 	                          	13.90	      	      	   	       	
        	        	0429+176  	        	        	DA2.5+dM 	 	GH7-255      EG038        	13.90	      	      	   	 0.1100	109.0
        	        	0455-282  	        	        	DA.89    	 	EUV          MCT          	13.90	-0.300	      	   	       	
        	        	0501-289  	        	        	DOZ.72   	 	MCT          RE           	13.90	-0.300	      	   	       	
        	        	0501-289  	        	        	DOZ1     	 	                          	13.90	      	      	   	       	
